date,description,debit,credit,balance,folder
2024-06-02,IMPS-INET/Fund Trf/415411520647/TRUSTEDMOBILITY/017705014029/4DN4gXeXMUR1tYo,0.0,2756.48,183874.81,pdfs
2024-06-06,CHQ Paid/000019/GOBIND ENTERPRISES/I.C.I.C.I.BANKI,5589.0,0.0,178285.81,pdfs
2024-06-11,IMPS-MOB/Fund Trf/416320874740/AVENTERPRISES/4991008700000329/IMPS,0.0,10000.0,188285.81,pdfs
2024-06-11,IMPS-MOB/Fund Trf/416321877871/AVENTERPRISES/4991008700000329/IMPS,0.0,90000.0,278285.81,pdfs
2024-06-12,Sweepout FD 10183977323 booked,78000.0,0.0,200285.81,pdfs
2024-06-14,POS MID Low Output Management Fees/Inv0704241909991231/30-APR-2024/,299.0,0.0,199986.81,pdfs
2024-06-14,CGST on POS MID Low Output Management Fees/Inv0704241909991231/30-APR-2024/,26.91,0.0,199959.9,pdfs
2024-06-14,SGST on POS MID Low Output Management Fees/Inv0704241909991231/30-APR-2024/,26.91,0.0,199932.99,pdfs
2024-06-14,POS MID Terminal management Fee/Inv0704241910174551/30-APR-2024/,499.0,0.0,199433.99,pdfs
2024-06-14,CGST on POS MID Terminal management Fee/Inv0704241910174551/30-APR-2024/,44.91,0.0,199389.08,pdfs
2024-06-14,SGST on POS MID Terminal management Fee/Inv0704241910174551/30-APR-2024/,44.91,0.0,199344.17,pdfs
2024-06-19,CHQ Paid/000021/NDTH ENERGY/YES BANK LTDATE BANK O,14640.0,0.0,184704.17,pdfs
2024-06-26,CHQ Paid/000022/NAVITA MOTOR COMPANY/AU SMALL FINA,7335.0,0.0,177369.17,pdfs
